  I     	  II     	  AO     	  AO'		
-17.40   	  7.63   	195.24   	  25.43		
-19.53   	  1.83   	195.34   	   5.09		
-21.97   	 -8.85   	195.36(S)	 -15.26		
-23.80   	-19.23   	195.30   	 -45.78		
-24.72   	-24.11   	195.12   	 -61.04		
-25.63   	-23.80   	194.87   	 -91.56		
-27.16   	-22.89   	194.51   	-116.99		
-28.99   	-25.33   	194.04   	-142.42		
-30.82   	-32.35   	193.47   	-178.03		
-31.43   	-39.67   	192.76   	-203.46		
-30.82   	-44.86   	191.94   	-244.15		
-28.69   	-46.69   	190.97   	-284.84		
-26.25   	-47.91   	189.83   	-325.53		
-25.02   	-52.49   	188.52   	-366.22		
-26.55   	-61.04   	187.06   	-417.09		
-29.91   	-71.11   	185.39   	-462.87		
-33.57   	-76.90   	183.54   	-508.65		
-36.01   	-73.85   	181.50   	-549.34		
-36.01   	-63.48   	179.31   	-574.77		
-34.79   	-51.57   	177.01   	-600.20		
-34.18   	-44.86   	174.61   	-610.37		
-34.48   	-46.69   	172.17   	-610.37		
-34.79   	-54.93   	169.72   	-610.37		
-34.79   	-63.17   	167.28   	-595.11		
-34.48   	-65.61   	164.90   	-579.86		
-33.87   	-59.20   	162.58   	-564.60		
-33.87   	-44.25   	160.32   	-544.25		
-34.18   	-25.63   	158.15   	-518.82		
-34.48   	-10.07   	156.07   	-503.56		
-34.48   	 -1.53   	154.06   	-488.30		
-34.18   	  0.92   	152.11   	-467.95		
-33.87   	  1.83   	150.23   	-447.61		
-33.26   	  6.41   	148.44   	-442.52		
-32.65   	 16.48   	146.67   	-427.26		
-31.13   	 30.52   	144.96   	-417.09		
-28.69   	 44.86   	143.30   	-412.00		
-24.72   	 54.93   	141.65   	-412.00		
-20.45   	 58.29   	140.00   	-401.83		
-16.48   	 54.63   	138.39   	-396.74		
-13.73   	 47.91   	136.81   	-396.74		
-10.99   	 43.03   	135.22   	-391.66		
 -7.63   	 43.33   	133.65   	-386.57		
 -3.97   	 48.52   	132.11   	-381.48		
 -0.31   	 55.85   	130.58   	-376.40		
  2.75   	 63.17   	129.07   	-361.14		
  6.10   	 68.36   	127.63   	-350.97		
  9.77   	 70.80   	126.23   	-340.79		
 13.43   	 69.58   	124.86   	-325.53		
 15.87   	 64.70   	123.56   	-305.19		
 15.56   	 57.37   	122.34   	-289.93		
 12.51   	 48.52   	121.18   	-269.58		
  6.41   	 37.84   	120.10   	-254.32		
 -3.05   	 23.80   	119.08   	-239.06		
-14.04   	  5.80   	118.13   	-218.72		
-24.41   	-13.73   	117.25   	-203.46		
-31.13   	-31.43   	116.44   	-193.29		
-33.26   	-44.25   	115.67   	-178.03		
-32.65   	-51.57   	114.95   	-172.94		
-32.04   	-56.76   	114.26   	-162.77		
-33.57   	-62.87   	113.61   	-157.68		
-35.40   	-70.80   	112.98   	-147.51		
-36.62   	-78.13   	112.39   	-152.59		
-36.62   	-81.79   	111.78   	-142.42		
-35.71   	-80.26   	111.21   	-142.42		
-35.10   	-76.90   	110.64   	-137.33		
-34.48   	-75.68   	110.09   	-132.25		
-33.87   	-78.43   	109.56   	-132.25		
-34.18   	-82.70   	109.03   	-127.16		
-35.40   	-84.23   	108.52   	-122.07		
-36.01   	-79.96   	108.04   	-122.07		
-33.26   	-66.83   	107.55   	-116.99		
-22.89   	-42.72   	107.08   	-116.99		
 -1.53   	 -3.05   	106.61   	-116.99		
 33.87   	 61.34   	106.14   	-111.90		
 86.67   	162.35   	105.70   	-106.82		
158.69   	307.92   	105.27   	-111.90		
244.45   	494.38   	104.82   	-106.82		
331.73   	693.36   	104.39   	-213.63		
449.83   	883.79(R)	103.54   	-106.82		
459.90   	766.91   	103.11   	-101.73		
431.52   	514.22   	102.71   	-101.73		
364.99   	202.64   	102.30   	 -96.64		
268.55   	-74.46   	101.91   	 -96.64		
160.83   	-258.79   	101.53   	 -96.64		
 66.83   	-350.04   	101.14   	 -91.56		
  6.10   	-382.39   	100.77   	 -91.56		
-21.36   	-386.05   	100.41   	 -86.47		
-31.74   	-366.21   	100.06   	 -86.47		
-42.42   	-317.99   	 99.71   	 -81.38		
-59.20   	-247.19   	 99.39   	 -71.21		
-75.38   	-177.00   	 99.10   	 -66.12		
-83.62   	-132.14   	 98.84   	 -55.95		
-81.79   	-119.93   	 98.62   	 -45.78		
-75.68   	-127.56   	 98.43   	 -20.35		
-71.41   	-136.41   	 98.35(D)	   0.00		
-70.50   	-136.11   	 98.35   	  25.43		
-71.11   	-128.17   	 98.45   	  66.12		
-72.02   	-119.93   	 98.72   	 111.90		
-72.94   	-116.27   	 99.17   	 157.68		
-73.85   	-116.27   	 99.80   	 208.54		
-74.77   	-116.88   	100.63   	 264.50		
-74.16   	-116.27   	101.69   	 320.45		
-71.72   	-113.22   	102.97   	 361.14		
-68.97   	-109.25   	104.41   	 412.00		
-66.53   	-104.68   	106.06   	 447.61		
-65.92   	-101.01   	107.85   	 478.13		
-65.92   	-98.88   	109.77   	 508.65		
-66.22   	-99.79   	111.80   	 528.99		
-65.92   	-103.76   	113.92   	 549.34		
-64.70   	-109.25   	116.11   	 564.60		
-64.09   	-112.00   	118.37   	 579.86		
-64.39   	-109.25   	120.69   	 590.03		
-65.31   	-101.62   	123.05   	 600.20		
-65.31   	-93.38   	125.45   	 600.20		
-64.70   	-89.42   	127.85   	 605.29		
-63.48   	-90.94   	130.27   	 600.20		
-62.87   	-94.91   	132.67   	 595.11		
-62.87   	-97.35   	135.06   	 584.94		
-62.87   	-94.91   	137.40   	 579.86		
-62.26   	-88.50   	139.71   	 564.60		
-60.73   	-80.87   	141.97   	 554.42		
-58.90   	-75.07   	144.19   	 539.16		
-57.68   	-71.41   	146.35   	 523.90		
-57.37   	-70.19   	148.44   	 518.82		
-57.68   	-68.97   	150.52   	 503.56		
-57.68   	-66.22   	152.53   	 498.47		
-57.37   	-60.73   	154.53   	 488.30		
-57.07   	-52.80   	156.48   	 478.13		
-56.76   	-43.03   	158.39   	 473.04		
-56.46   	-33.26   	160.28   	 462.87		
-56.46   	-25.33   	162.14   	 457.78		
-55.85   	-19.53   	163.97   	 452.69		
-54.93   	-13.43   	165.78   	 442.52		
-53.71   	 -4.58   	167.55   	 437.43		
-53.10   	  7.02   	169.30   	 427.26		
-52.80   	 19.53   	171.01   	 417.09		
-52.80   	 28.99   	172.67   	 412.00		
-52.80   	 33.26   	174.32   	 396.74		
-52.19   	 33.57   	175.91   	 391.66		
-50.96   	 33.26   	177.48   	 381.48		
-49.44   	 34.48   	179.00   	 366.22		
-47.61   	 37.84   	180.47   	 356.05		
-45.78   	 42.11   	181.89   	 340.79		
-44.56   	 46.08   	183.25   	 330.62		
-43.03   	 50.35   	184.58   	 310.27		
-41.20   	 54.93   	185.82   	 295.01		
-38.76   	 58.90   	187.00   	 279.75		
-35.71   	 60.42   	188.12   	 254.32		
-32.96   	 58.90   	189.13   	 244.15		
-31.43   	 55.24   	190.11   	 218.72		
-31.13   	 51.27   	190.99   	 203.46		
-31.43   	 47.91   	191.80   	 183.11		
-31.43   	 45.17   	192.53   	 162.77		
-31.13   	 42.42   	193.18   	 142.42		
-30.82   	 38.15   	193.75   	 127.16		
-30.82   	 32.04   	194.26   	 106.82		
-31.13   	 24.11   	194.69   	  81.38		
-31.43   	 15.56   	195.01   	  66.12		
-31.74   	  7.02   	195.28   	  40.69		
-31.74   	 -0.61   	195.44   	  20.35		
-32.35   	 -7.93   	195.52(S)	   0.00		
-33.87   	-14.04   	195.52   	 -25.43		
-36.01   	-18.62   	195.42   	 -45.78		
-38.15   	-20.75   	195.24   	 -76.30		
-39.06   	-19.53   	194.93   	-106.82		
-38.45   	-16.48   	194.51   	-137.33		
-36.62   	-14.34   	193.96   	-167.85		
-36.01   	-16.48   	193.29   	-203.46		
-37.54   	-22.89   	192.47   	-244.15		
-40.89   	-31.74   	191.49   	-284.84		
-45.17   	-40.28   	190.36   	-330.62		
-47.61   	-45.47   	189.03   	-376.40		
-47.30   	-45.78   	187.53   	-427.26		
-44.25   	-43.03   	185.82   	-467.95		
-40.59   	-39.67   	183.95   	-508.65		
-38.45   	-39.37   	181.91   	-539.16		
-39.06   	-43.33   	179.76   	-564.60		
-41.81   	-49.74   	177.50   	-579.86		
-44.56   	-55.54   	175.18   	-584.94		
-46.08   	-57.37   	172.84   	-584.94		
-45.17   	-53.71   	170.50   	-584.94		
-43.64   	-46.08   	168.16   	-569.68		
-42.72   	-36.93   	165.88   	-559.51		
-42.11   	-27.16   	163.64   	-549.34		
-41.50   	-15.56   	161.44   	-534.08		
-39.98   	 -2.44   	159.31   	-523.90		
-37.23   	 10.99   	157.21   	-503.56		
-34.18   	 21.97   	155.20   	-488.30		
-32.04   	 27.47   	153.24   	-478.13		
