  I     	  II     	  AO     	  AO'		
-48.52   	-92.77   	 83.42   	 -35.61		
-35.40   	-105.29   	 83.28   	 -20.35		
-33.87   	-99.49   	 83.19   	 -10.17		
-40.89   	-85.75   	 83.15   	  10.17		
-48.22   	-75.38   	 83.19   	  25.43		
-50.66   	-71.72   	 83.30   	  61.04		
-47.30   	-70.50   	 83.54   	  86.47		
-42.72   	-68.36   	 83.89   	 127.16		
-40.59   	-64.70   	 84.39   	 157.68		
-42.11   	-58.90   	 85.03   	 183.11		
-45.17   	-53.10   	 85.76   	 213.63		
-47.00   	-50.35   	 86.61   	 233.98		
-46.69   	-53.10   	 87.55   	 254.32		
-45.17   	-58.59   	 88.57   	 274.67		
-43.64   	-61.04   	 89.66   	 295.01		
-42.72   	-57.68   	 90.84   	 315.36		
-41.81   	-48.83   	 92.11   	 340.79		
-42.11   	-38.15   	 93.47   	 371.31		
-43.03   	-29.30   	 94.95   	 391.66		
-44.56   	-23.80   	 96.52   	 422.18		
-46.39   	-23.50   	 98.21   	 437.43		
-47.00   	-28.38   	 99.96   	 462.87		
-46.08   	-34.48   	101.81   	 473.04		
-43.64   	-35.71   	103.70   	 493.39		
-40.28   	-28.38   	105.68   	 498.47		
-37.54   	-14.04   	107.67   	 513.73		
-36.01   	  0.31   	109.72   	 523.90		
-35.71   	  7.02   	111.82   	 539.16		
-36.32   	  5.49   	113.98   	 544.25		
-36.32   	  2.44   	116.15   	 559.51		
-34.18   	  5.49   	118.39   	 564.60		
-31.43   	 17.70   	120.65   	 569.68		
-29.60   	 35.71   	122.93   	 569.68		
-30.21   	 52.19   	125.21   	 559.51		
-33.57   	 64.09   	127.45   	 549.34		
-36.32   	 72.33   	129.64   	 534.08		
-35.10   	 80.26   	131.78   	 518.82		
-29.60   	 90.33   	133.86   	 503.56		
-23.80   	101.01   	135.87   	 498.47		
-21.67   	110.47   	137.86   	 483.21		
-23.80   	122.38   	139.80   	 462.87		
-27.47   	140.99   	141.65   	 442.52		
-28.38   	167.54   	143.42   	 427.26		
-25.02   	197.45   	145.13   	 412.00		
-19.23   	224.00   	146.77   	 417.09		
-14.34   	242.92   	148.44   	 427.26		
-12.82   	258.18   	150.15   	 437.43		
-13.43   	277.40   	151.90   	 452.69		
-14.34   	302.73   	153.71   	 462.87		
-13.73   	332.03   	155.56   	 467.95		
-12.21   	358.58   	157.44   	 467.95		
-10.38   	379.64   	159.31   	 462.87		
 -8.54   	395.81   	161.16   	 457.78		
 -6.41   	410.16   	162.99   	 442.52		
 -3.05   	424.19   	164.76   	 432.35		
  0.31   	437.62   	166.49   	 417.09		
  2.44   	447.08   	168.16   	 401.83		
  1.53   	451.05   	169.77   	 386.57		
 -2.44   	449.22   	171.31   	 366.22		
 -7.63   	442.81   	172.78   	 350.97		
-11.29   	433.65   	174.18   	 335.71		
-11.90   	422.06   	175.52   	 315.36		
 -8.85   	407.71   	176.78   	 300.10		
 -4.27   	388.49   	177.99   	 279.75		
 -1.83   	361.02   	179.10   	 264.50		
 -3.36   	325.01   	180.16   	 249.24		
 -7.93   	281.98   	181.16   	 233.98		
-13.12   	236.51   	182.09   	 213.63		
-15.87   	193.48   	182.95   	 188.20		
-13.73   	156.25   	183.70   	 172.94		
 -8.85   	124.82   	184.39   	 142.42		
 -4.27   	 97.96   	184.96   	 116.99		
 -3.36   	 72.63   	185.43   	  91.56		
 -7.02   	 46.39   	185.80   	  61.04		
